x,y,z
-3.57628e-07,1.19209e-07,100
-0.00964439,0.00264525,99.9964
-0.0192751,0.00533855,99.9927
-0.0288913,0.00807977,99.9891
-0.0384946,0.0108693,99.9854
-0.0480838,0.0137067,99.9818
-0.0576587,0.016592,99.9782
-0.0672182,0.0195251,99.9745
-0.0767637,0.022506,99.9709
-0.0862943,0.0255346,99.9672
-0.0958096,0.0286109,99.9636
-0.105308,0.0317345,99.96
-0.114793,0.0349058,99.9563
-0.124261,0.0381244,99.9527
-0.133712,0.0413904,99.949
-0.143147,0.0447032,99.9454
-0.152566,0.0480636,99.9418
-0.161968,0.051471,99.9381
-0.171352,0.0549253,99.9345
-0.180719,0.0584261,99.9308
-0.190068,0.0619742,99.9272
-0.1994,0.0655689,99.9236
-0.208714,0.0692103,99.9199
-0.218008,0.0728978,99.9163
-0.227285,0.076632,99.9126
-0.236543,0.0804126,99.909
-0.245782,0.0842395,99.9054
-0.255002,0.0881125,99.9017
-0.264201,0.0920312,99.8981
-0.273382,0.0959963,99.8944
-0.282543,0.100007,99.8908
-0.291683,0.104064,99.8872
-0.300802,0.108166,99.8835
-0.309902,0.112313,99.8799
-0.31898,0.116507,99.8763
-0.328038,0.120745,99.8726
-0.337073,0.125029,99.869
-0.346088,0.129358,99.8653
-0.355081,0.133732,99.8617
-0.364052,0.138151,99.8581
-0.373,0.142614,99.8544
-0.381926,0.147122,99.8508
-0.39083,0.151675,99.8471
-0.39971,0.156273,99.8435
-0.408567,0.160914,99.8399
-0.417401,0.1656,99.8362
-0.426212,0.17033,99.8326
-0.434999,0.175104,99.8289
-0.443762,0.179922,99.8253
-0.4525,0.184783,99.8217
-0.461215,0.189689,99.818
-0.469905,0.194638,99.8144
-0.47857,0.19963,99.8107
-0.487209,0.204665,99.8071
-0.495823,0.209743,99.8035
-0.504413,0.214865,99.7998
-0.512976,0.22003,99.7962
-0.521513,0.225237,99.7925
-0.530024,0.230487,99.7889
-0.538509,0.235779,99.7853
-0.546967,0.241114,99.7816
-0.555398,0.24649,99.778
-0.563803,0.251909,99.7743
-0.57218,0.25737,99.7707
-0.58053,0.262873,99.7671
-0.588852,0.268417,99.7634
-0.597146,0.274003,99.7598
-0.605413,0.279631,99.7561
-0.613651,0.2853,99.7525
-0.62186,0.291009,99.7489
-0.630041,0.29676,99.7452
-0.638194,0.302551,99.7416
-0.646317,0.308384,99.7379
-0.65441,0.314256,99.7343
-0.662475,0.320169,99.7307
-0.67051,0.326123,99.727
-0.678515,0.332117,99.7234
-0.68649,0.33815,99.7197
-0.694434,0.344223,99.7161
-0.702348,0.350336,99.7125
-0.710231,0.356489,99.7088
-0.718084,0.362681,99.7052
-0.725905,0.368911,99.7015
-0.733695,0.375181,99.6979
