x,y,z
-2.98023e-07,1.19209e-07,100
-0.00903851,0.00427985,99.9964
-0.0180552,0.00860453,99.9927
-0.0270493,0.0129739,99.9891
-0.0360223,0.0173886,99.9854
-0.0449731,0.0218481,99.9818
-0.0539016,0.0263523,99.9782
-0.0628065,0.0309007,99.9745
-0.0716894,0.035494,99.9709
-0.0805492,0.0401316,99.9672
-0.0893857,0.0448135,99.9636
-0.0981979,0.049539,99.96
-0.106987,0.054309,99.9563
-0.115753,0.0591229,99.9527
-0.124494,0.0639806,99.949
-0.13321,0.0688814,99.9454
-0.141902,0.0738262,99.9418
-0.150569,0.0788144,99.9381
-0.159211,0.0838459,99.9345
-0.167827,0.08892,99.9308
-0.176419,0.0940377,99.9272
-0.184985,0.0991982,99.9236
-0.193525,0.104402,99.9199
-0.202038,0.109647,99.9163
-0.210525,0.114935,99.9126
-0.218986,0.120266,99.909
-0.22742,0.125639,99.9054
-0.235827,0.131055,99.9017
-0.244206,0.136511,99.8981
-0.252559,0.14201,99.8944
-0.260884,0.147551,99.8908
-0.269181,0.153133,99.8872
-0.27745,0.158756,99.8835
-0.28569,0.164421,99.8799
-0.293903,0.170127,99.8763
-0.302087,0.175874,99.8726
-0.310241,0.181661,99.869
-0.318367,0.18749,99.8653
-0.326464,0.193359,99.8617
-0.334531,0.199269,99.8581
-0.342568,0.205218,99.8544
-0.350576,0.211208,99.8508
-0.358554,0.217238,99.8471
-0.366501,0.223307,99.8435
-0.374418,0.229416,99.8399
-0.382304,0.235565,99.8362
-0.39016,0.241753,99.8326
-0.397984,0.247981,99.8289
-0.405777,0.254247,99.8253
-0.413539,0.260552,99.8217
-0.421269,0.266896,99.818
-0.428967,0.273279,99.8144
-0.436634,0.2797,99.8107
-0.444267,0.286158,99.8071
-0.451869,0.292656,99.8035
-0.459438,0.299191,99.7998
-0.466975,0.305764,99.7962
-0.474478,0.312375,99.7925
-0.481948,0.319023,99.7889
-0.489385,0.325708,99.7853
-0.496788,0.33243,99.7816
-0.504158,0.33919,99.778
-0.511494,0.345986,99.7743
-0.518796,0.352818,99.7707
-0.526063,0.359687,99.7671
-0.533296,0.366593,99.7634
-0.540494,0.373534,99.7598
-0.547658,0.380511,99.7561
-0.554786,0.387524,99.7525
-0.56188,0.394573,99.7489
-0.568938,0.401657,99.7452
-0.575961,0.408776,99.7416
-0.582947,0.41593,99.7379
-0.589899,0.423119,99.7343
-0.596813,0.430343,99.7307
-0.603693,0.437601,99.727
-0.610535,0.444894,99.7234
-0.617341,0.45222,99.7197
-0.62411,0.459581,99.7161
