x,y,z
-1,1,100
-1.01,0.999975,99.9964
-1.02,0.9999,99.9927
-1.03,0.999775,99.9891
-1.04,0.9996,99.9854
-1.04999,0.999375,99.9818
-1.05999,0.9991,99.9782
-1.06999,0.998775,99.9745
-1.07998,0.9984,99.9709
-1.08997,0.997975,99.9672
-1.09996,0.997501,99.9636
-1.10994,0.996976,99.96
-1.11993,0.996401,99.9563
-1.12991,0.995777,99.9527
-1.13989,0.995102,99.949
-1.14986,0.994378,99.9454
-1.15983,0.993603,99.9418
-1.1698,0.992779,99.9381
-1.17976,0.991905,99.9345
-1.18971,0.990982,99.9308
-1.19967,0.990008,99.9272
-1.20961,0.988985,99.9236
-1.21956,0.987912,99.9199
-1.22949,0.98679,99.9163
-1.23942,0.985617,99.9126
-1.24935,0.984395,99.909
-1.25927,0.983124,99.9054
-1.26918,0.981803,99.9017
-1.27909,0.980432,99.8981
-1.28898,0.979012,99.8944
-1.29888,0.977542,99.8908
-1.30876,0.976023,99.8872
-1.31864,0.974455,99.8835
-1.3285,0.972837,99.8799
-1.33836,0.97117,99.8763
-1.34822,0.969453,99.8726
-1.35806,0.967687,99.869
-1.36789,0.965872,99.8653
-1.37772,0.964008,99.8617
-1.38753,0.962095,99.8581
-1.39734,0.960133,99.8544
-1.40713,0.958122,99.8508
-1.41692,0.956062,99.8471
-1.42669,0.953953,99.8435
-1.43646,0.951795,99.8399
-1.44621,0.949588,99.8362
-1.45596,0.947333,99.8326
-1.46569,0.945029,99.8289
-1.47541,0.942676,99.8253
-1.48511,0.940275,99.8217
-1.49481,0.937825,99.818
-1.50449,0.935327,99.8144
-1.51416,0.93278,99.8107
-1.52382,0.930185,99.8071
-1.53346,0.927542,99.8035
-1.54309,0.92485,99.7998
-1.55271,0.922111,99.7962
-1.56231,0.919323,99.7925
-1.5719,0.916488,99.7889
-1.58148,0.913604,99.7853
-1.59104,0.910673,99.7816
-1.60059,0.907694,99.778
-1.61012,0.904667,99.7743
-1.61963,0.901593,99.7707
-1.62913,0.898471,99.7671
-1.63862,0.895301,99.7634
-1.64809,0.892085,99.7598
-1.65754,0.888821,99.7561
-1.66697,0.885509,99.7525
-1.67639,0.882151,99.7489
-1.6858,0.878745,99.7452
-1.69518,0.875293,99.7416
-1.70455,0.871794,99.7379
-1.7139,0.868248,99.7343
-1.72323,0.864655,99.7307
-1.73255,0.861015,99.727
-1.74184,0.857329,99.7234
-1.75112,0.853597,99.7197
-1.76038,0.849818,99.7161
-1.76962,0.845993,99.7125
-1.77884,0.842122,99.7088
-1.78804,0.838205,99.7052
-1.79722,0.834242,99.7015
-1.80638,0.830233,99.6979
-1.81552,0.826178,99.6943
-1.82464,0.822078,99.6906
-1.83374,0.817932,99.687
-1.84282,0.81374,99.6833
-1.85188,0.809503,99.6797
-1.86092,0.805221,99.6761
-1.86993,0.800894,99.6724
-1.87892,0.796522,99.6688
-1.8879,0.792105,99.6651
-1.89685,0.787643,99.6615
-1.90577,0.783137,99.6579
-1.91468,0.778585,99.6542
-1.92356,0.77399,99.6506
-1.93242,0.76935,99.6469
-1.94125,0.764666,99.6433
-1.95006,0.759937,99.6397
-1.95885,0.755165,99.636
-1.96761,0.750349,99.6324
-1.97635,0.745489,99.6288
-1.98507,0.740585,99.6251
-1.99376,0.735638,99.6215
-2.00243,0.730648,99.6178
-2.01107,0.725614,99.6142
-2.01968,0.720537,99.6105
-2.02827,0.715417,99.6069
-2.03684,0.710255,99.6033
-2.04537,0.705049,99.5996
-2.05389,0.699801,99.596
-2.06237,0.69451,99.5924
-2.07083,0.689177,99.5887
-2.07926,0.683802,99.5851
-2.08767,0.678385,99.5814
-2.09605,0.672925,99.5778
-2.1044,0.667424,99.5742
-2.11272,0.661881,99.5705
-2.12102,0.656297,99.5669
-2.12929,0.650671,99.5632
-2.13752,0.645004,99.5596
-2.14574,0.639296,99.556
-2.15392,0.633547,99.5523
-2.16207,0.627757,99.5487
-2.17019,0.621926,99.545
-2.17829,0.616055,99.5414
-2.18635,0.610144,99.5378
-2.19439,0.604191,99.5341
-2.2024,0.598199,99.5305
-2.21037,0.592168,99.5268
-2.21832,0.586096,99.5232
-2.22623,0.579984,99.5196
-2.23412,0.573833,99.5159
-2.24197,0.567643,99.5123
-2.24979,0.561414,99.5086
-2.25759,0.555146,99.505
-2.26535,0.548838,99.5014
-2.27307,0.542492,99.4977
-2.28077,0.536107,99.4941
-2.28844,0.529684,99.4904
-2.29607,0.523223,99.4868
-2.30367,0.516724,99.4832
-2.31123,0.510186,99.4795
-2.31877,0.503612,99.4759
-2.32627,0.496999,99.4722
-2.33374,0.490349,99.4686
-2.34117,0.483661,99.465
-2.34858,0.476937,99.4613
-2.35594,0.470176,99.4577
-2.36328,0.463377,99.454
-2.37058,0.456543,99.4504
-2.37784,0.449672,99.4468
-2.38507,0.442765,99.4431
-2.39227,0.435821,99.4395
-2.39943,0.428842,99.4358
-2.40656,0.421827,99.4322
-2.41365,0.414777,99.4286
-2.42071,0.40769,99.4249
-2.42773,0.40057,99.4213
-2.43471,0.393414,99.4176
-2.44166,0.386222,99.414
-2.44857,0.378997,99.4104
-2.45545,0.371737,99.4067
-2.46229,0.364442,99.4031
-2.4691,0.357114,99.3995
-2.47586,0.349751,99.3958
-2.48259,0.342355,99.3922
-2.48929,0.334926,99.3885
-2.49594,0.327463,99.3849
-2.50256,0.319966,99.3812
-2.50914,0.312437,99.3776
-2.51569,0.304875,99.374
-2.52219,0.29728,99.3703
-2.52866,0.289653,99.3667
-2.53509,0.281994,99.3631
-2.54148,0.274302,99.3594
-2.54783,0.266579,99.3558
-2.55414,0.258824,99.3521
-2.56042,0.251037,99.3485
-2.56665,0.24322,99.3449
-2.57285,0.235371,99.3412
-2.57901,0.227491,99.3376
-2.58513,0.219581,99.3339
-2.5912,0.21164,99.3303
-2.59724,0.203669,99.3267
-2.60324,0.195668,99.323
-2.6092,0.187637,99.3194
-2.61512,0.179576,99.3157
-2.62099,0.171486,99.3121
-2.62683,0.163366,99.3085
-2.63263,0.155217,99.3048
-2.63838,0.14704,99.3012
-2.6441,0.138834,99.2975
-2.64977,0.130599,99.2939
-2.6554,0.122336,99.2903
-2.66099,0.114045,99.2866
-2.66654,0.105726,99.283
-2.67205,0.0973798,99.2793
-2.67752,0.0890057,99.2757
-2.68294,0.0806043,99.2721
-2.68832,0.0721763,99.2684
-2.69366,0.0637215,99.2648
-2.69896,0.0552398,99.2611
-2.70422,0.0467317,99.2575
-2.70943,0.0381978,99.2539
-2.7146,0.0296378,99.2502
-2.71972,0.0210519,99.2466
-2.72481,0.0124403,99.2429
-2.72985,0.00380385,99.2393
-2.73485,-0.00485772,99.2357
-2.7398,-0.0135445,99.232
-2.74471,-0.022256,99.2284
-2.74958,-0.0309916,99.2247
-2.7544,-0.0397513,99.2211
-2.75918,-0.0485355,99.2175
